942,935,7,4,32
3,3,3,45,15
7,7,45,205,22
7,45,205,45,23
45,205,45,45,22
205,45,45,7,22
45,45,7,199,22
3,199,7,6,34
199,7,6,12,32
7,6,12,935,32
7,12,936,7,25
12,936,7,3,32
12,4,4,942,32
4,4,942,80,32
4,942,80,936,32
3,942,4,3,40
942,4,3,21,40
4,3,21,936,40
3,21,936,3,33
21,936,3,936,33
936,3,936,935,32
3,936,935,199,25
936,935,199,7,25
935,199,7,936,25
199,7,936,7,25
7,936,7,35,25
936,7,35,934,25
7,35,934,7,25
35,934,7,4,25
934,7,4,4,25
7,4,4,7,25
4,4,7,7,25
4,7,7,35,25
7,7,35,12,25
7,35,12,936,25
35,12,936,205,25
12,936,205,936,25
936,205,936,13,25
205,936,13,21,25
936,13,21,936,25
13,21,936,21,25
21,936,21,936,25
936,21,936,13,25
928,3,12,5,25
925,936,3,6,40
936,3,6,13,25
3,6,13,936,25
6,13,936,205,32
13,936,205,5,32
936,205,5,199,32
205,5,199,936,32
5,199,936,6,32
199,936,6,936,32
936,6,936,35,32
6,936,35,6,32
936,35,6,6,32
35,6,6,5,32
6,6,5,12,32
6,5,12,935,32
5,12,935,12,32
12,935,12,13,32
935,12,13,935,32
12,13,935,5,32
13,935,5,942,32
935,5,942,207,32
5,942,207,935,32
942,207,935,942,32
207,935,942,935,32
935,942,935,942,32
942,935,942,5,32
935,942,5,935,32
942,5,935,12,32
5,935,12,935,32
935,12,935,942,32
12,935,942,13,32
935,942,13,3,32
942,13,3,942,32
13,3,942,942,32
3,942,942,5,32
942,942,5,942,32
942,5,942,942,32
5,942,942,942,32
942,942,942,935,32
942,942,935,13,32
942,935,13,942,32
935,13,942,928,32
13,942,928,942,32
942,928,942,942,32
928,942,942,5,32
942,942,5,935,32
942,5,935,13,32
5,935,13,936,32
935,13,936,199,32
13,936,199,925,32
936,199,925,5,32
199,925,5,7,32
925,5,7,35,32
5,7,35,3,32
7,35,3,6,32
35,3,6,7,32
3,6,7,7,32
6,7,7,7,32
7,7,7,178,32
7,7,178,934,32
7,178,934,7,25
178,934,7,7,32
934,7,7,6,25
7,7,6,6,32
7,6,6,7,32
127,5,12,207,33
5,12,207,13,32
12,207,13,5,33
207,13,5,935,32
13,5,935,942,32
5,935,942,13,32
935,942,13,13,32
942,13,13,935,33
13,13,935,13,32
13,935,13,942,32
935,13,942,935,32
13,942,935,7,32
942,935,7,12,32
935,7,12,935,32
7,12,935,13,32
12,935,13,935,32
935,13,935,935,32
13,935,935,935,32
935,935,935,5,32
935,935,5,935,32
935,5,935,935,32
5,935,935,21,32
935,935,21,5,32
935,21,5,7,32
21,5,7,7,32
5,7,7,6,32
7,7,6,7,32
7,6,7,191,32
6,7,191,35,32
7,191,35,935,32
191,35,935,935,32
35,935,935,133,32
935,935,133,4,32
935,133,4,6,32
133,4,6,6,32
4,6,6,21,32
6,6,21,21,32
6,21,21,191,32
21,21,191,936,32
21,191,936,13,32
191,936,13,936,32
936,13,936,936,32
13,936,936,7,32
936,936,7,7,32
936,7,7,7,32
7,7,7,4,32
7,7,4,4,32
7,4,4,7,32
4,4,7,133,32
