1,1,2,2,3,3,4,5,5,5,3,3,3,5,5,4,21
1,2,2,3,3,4,5,5,5,3,3,3,5,5,4,2,21
2,2,3,3,4,5,5,5,3,3,3,5,5,4,2,6,25
2,3,3,4,5,5,5,3,3,3,5,5,4,2,6,4,25
3,3,4,5,5,5,3,3,3,5,5,4,2,6,4,3,25
3,4,5,5,5,3,3,3,5,5,4,2,6,4,3,1,25
4,5,5,5,3,3,3,5,5,4,2,6,4,3,1,2,25
5,5,5,3,3,3,5,5,4,2,6,4,3,1,2,2,25
5,5,3,3,3,5,5,4,2,6,4,3,1,2,2,4,25
5,3,3,3,5,5,4,2,6,4,3,1,2,2,4,5,25
3,3,3,5,5,4,2,6,4,3,1,2,2,4,5,3,25
4,3,8,8,2,5,2,9,8,2,9,3,9,10,2,2,25
3,8,8,2,5,2,9,8,2,9,3,9,10,2,2,11,25
8,8,2,5,2,9,8,2,9,3,9,10,2,2,11,2,25
8,2,5,2,9,8,2,9,3,9,10,2,2,11,2,11,25
2,5,2,9,8,2,9,3,9,10,2,2,11,2,11,7,25
5,2,9,8,2,9,3,9,10,2,2,11,2,11,7,12,25
2,9,8,2,9,3,9,10,2,2,11,2,11,7,12,8,25
9,8,2,9,3,9,10,2,2,11,2,11,7,12,8,3,25
8,2,9,3,9,10,2,2,11,2,11,7,12,8,3,11,25
2,9,3,9,10,2,2,11,2,11,7,12,8,3,11,2,25
9,3,9,10,2,2,11,2,11,7,12,8,3,11,2,3,25
3,9,10,2,2,11,2,11,7,12,8,3,11,2,3,3,25
9,10,2,2,11,2,11,7,12,8,3,11,2,3,3,3,25
10,2,2,11,2,11,7,12,8,3,11,2,3,3,3,2,32
2,2,11,2,11,7,12,8,3,11,2,3,3,3,2,13,32
2,11,2,11,7,12,8,3,11,2,3,3,3,2,13,8,32
11,2,11,7,12,8,3,11,2,3,3,3,2,13,8,8,32
2,11,7,12,8,3,11,2,3,3,3,2,13,8,8,8,32
11,7,12,8,3,11,2,3,3,3,2,13,8,8,8,8,32
7,12,8,3,11,2,3,3,3,2,13,8,8,8,8,11,32
12,8,3,11,2,3,3,3,2,13,8,8,8,8,11,7,32
8,3,11,2,3,3,3,2,13,8,8,8,8,11,7,8,32
3,11,2,3,3,3,2,13,8,8,8,8,11,7,8,7,32
11,2,3,3,3,2,13,8,8,8,8,11,7,8,7,9,32
2,3,3,3,2,13,8,8,8,8,11,7,8,7,9,8,32
3,3,3,2,13,8,8,8,8,11,7,8,7,9,8,9,32
3,3,2,13,8,8,8,8,11,7,8,7,9,8,9,14,32
3,2,13,8,8,8,8,11,7,8,7,9,8,9,14,9,32
2,13,8,8,8,8,11,7,8,7,9,8,9,14,9,9,32
13,8,8,8,8,11,7,8,7,9,8,9,14,9,9,1,32
8,8,8,8,11,7,8,7,9,8,9,14,9,9,1,9,32
8,8,8,11,7,8,7,9,8,9,14,9,9,1,9,9,32
8,8,11,7,8,7,9,8,9,14,9,9,1,9,9,9,32
8,11,7,8,7,9,8,9,14,9,9,1,9,9,9,14,32
11,7,8,7,9,8,9,14,9,9,1,9,9,9,14,11,32
7,8,7,9,8,9,14,9,9,1,9,9,9,14,11,9,32
8,7,9,8,9,14,9,9,1,9,9,9,14,11,9,14,32
7,5,4,5,9,7,5,5,4,3,5,5,6,3,5,5,25
5,4,5,9,7,5,5,4,3,5,5,6,3,5,5,3,25
1,1,1,13,3,5,7,9,15,1,2,2,13,9,3,9,21
13,16,5,13,6,5,11,8,9,9,8,14,11,9,9,1,25
16,5,13,6,5,11,8,9,9,8,14,11,9,9,1,9,25
5,13,6,5,11,8,9,9,8,14,11,9,9,1,9,8,25
13,6,5,11,8,9,9,8,14,11,9,9,1,9,8,5,25
1,17,13,4,13,5,8,3,4,9,8,9,2,18,3,3,25
17,13,4,13,5,8,3,4,9,8,9,2,18,3,3,13,25
4,19,5,1,5,3,3,9,11,1,9,9,14,7,8,14,32
19,5,1,5,3,3,9,11,1,9,9,14,7,8,14,8,32
5,1,5,3,3,9,11,1,9,9,14,7,8,14,8,8,32
1,5,3,3,9,11,1,9,9,14,7,8,14,8,8,8,25
5,3,3,9,11,1,9,9,14,7,8,14,8,8,8,8,25
3,3,9,11,1,9,9,14,7,8,14,8,8,8,8,14,25
3,9,11,1,9,9,14,7,8,14,8,8,8,8,14,8,32
9,11,1,9,9,14,7,8,14,8,8,8,8,14,8,11,32
11,1,9,9,14,7,8,14,8,8,8,8,14,8,11,8,32
1,9,9,14,7,8,14,8,8,8,8,14,8,11,8,8,32
9,9,14,7,8,14,8,8,8,8,14,8,11,8,8,9,32
9,14,7,8,14,8,8,8,8,14,8,11,8,8,9,7,32
14,7,8,14,8,8,8,8,14,8,11,8,8,9,7,9,32
7,8,14,8,8,8,8,14,8,11,8,8,9,7,9,9,32
8,14,8,8,8,8,14,8,11,8,8,9,7,9,9,8,32
14,8,8,8,8,14,8,11,8,8,9,7,9,9,8,8,32
8,8,8,8,14,8,11,8,8,9,7,9,9,8,8,7,32
8,8,8,14,8,11,8,8,9,7,9,9,8,8,7,16,32
8,8,14,8,11,8,8,9,7,9,9,8,8,7,16,5,32
1,1,1,1,1,20,1,5,1,1,14,1,2,11,21,1,15
1,1,1,1,20,1,5,1,1,14,1,2,11,21,1,11,22
1,1,1,20,1,5,1,1,14,1,2,11,21,1,11,13,23
1,1,20,1,5,1,1,14,1,2,11,21,1,11,13,13,22
1,20,1,5,1,1,14,1,2,11,21,1,11,13,13,4,23
20,1,5,1,1,14,1,2,11,21,1,11,13,13,4,13,22
1,5,1,1,14,1,2,11,21,1,11,13,13,4,13,1,15
5,1,1,14,1,2,11,21,1,11,13,13,4,13,1,1,31
1,1,14,1,2,11,21,1,11,13,13,4,13,1,1,5,32
1,14,1,2,11,21,1,11,13,13,4,13,1,1,5,6,32
14,1,2,11,21,1,11,13,13,4,13,1,1,5,6,4,32
1,2,11,21,1,11,13,13,4,13,1,1,5,6,4,5,32
2,11,21,1,11,13,13,4,13,1,1,5,6,4,5,22,32
11,21,1,11,13,13,4,13,1,1,5,6,4,5,22,23,32
21,1,11,13,13,4,13,1,1,5,6,4,5,22,23,5,32
1,11,13,13,4,13,1,1,5,6,4,5,22,23,5,4,32
11,13,13,4,13,1,1,5,6,4,5,22,23,5,4,5,32
13,13,4,13,1,1,5,6,4,5,22,23,5,4,5,5,32
13,4,13,1,1,5,6,4,5,22,23,5,4,5,5,5,32
4,13,1,1,5,6,4,5,22,23,5,4,5,5,5,23,32
13,1,1,5,6,4,5,22,23,5,4,5,5,5,23,3,32
1,1,5,6,4,5,22,23,5,4,5,5,5,23,3,5,32
1,5,6,4,5,22,23,5,4,5,5,5,23,3,5,5,32
5,6,4,5,22,23,5,4,5,5,5,23,3,5,5,5,32
6,4,5,22,23,5,4,5,5,5,23,3,5,5,5,5,32
4,5,22,23,5,4,5,5,5,23,3,5,5,5,5,5,32
5,22,23,5,4,5,5,5,23,3,5,5,5,5,5,5,32
22,23,5,4,5,5,5,23,3,5,5,5,5,5,5,5,32
23,5,4,5,5,5,23,3,5,5,5,5,5,5,5,14,32
5,4,5,5,5,23,3,5,5,5,5,5,5,5,14,24,32
4,5,5,5,23,3,5,5,5,5,5,5,5,14,24,11,32
5,5,5,23,3,5,5,5,5,5,5,5,14,24,11,9,32
5,5,23,3,5,5,5,5,5,5,5,14,24,11,9,7,32
5,23,3,5,5,5,5,5,5,5,14,24,11,9,7,8,32
23,3,5,5,5,5,5,5,5,14,24,11,9,7,8,9,32
3,5,5,5,5,5,5,5,14,24,11,9,7,8,9,9,32
5,5,5,5,5,5,5,14,24,11,9,7,8,9,9,9,32
5,5,5,5,5,5,14,24,11,9,7,8,9,9,9,8,32
5,5,5,5,5,14,24,11,9,7,8,9,9,9,8,14,32
5,5,5,5,14,24,11,9,7,8,9,9,9,8,14,7,32
5,5,5,14,24,11,9,7,8,9,9,9,8,14,7,5,32
5,5,14,24,11,9,7,8,9,9,9,8,14,7,5,5,32
5,14,24,11,9,7,8,9,9,9,8,14,7,5,5,5,32
14,24,11,9,7,8,9,9,9,8,14,7,5,5,5,5,32
24,11,9,7,8,9,9,9,8,14,7,5,5,5,5,3,32
11,9,7,8,9,9,9,8,14,7,5,5,5,5,3,5,32
9,7,8,9,9,9,8,14,7,5,5,5,5,3,5,5,32
7,8,9,9,9,8,14,7,5,5,5,5,3,5,5,25,32
8,9,9,9,8,14,7,5,5,5,5,3,5,5,25,3,32
9,9,9,8,14,7,5,5,5,5,3,5,5,25,3,5,32
9,9,8,14,7,5,5,5,5,3,5,5,25,3,5,5,32
9,8,14,7,5,5,5,5,3,5,5,25,3,5,5,5,32
8,14,7,5,5,5,5,3,5,5,25,3,5,5,5,16,32
14,7,5,5,5,5,3,5,5,25,3,5,5,5,16,5,32
7,5,5,5,5,3,5,5,25,3,5,5,5,16,5,5,32
5,5,5,5,3,5,5,25,3,5,5,5,16,5,5,5,32
5,5,5,3,5,5,25,3,5,5,5,16,5,5,5,6,32
5,5,3,5,5,25,3,5,5,5,16,5,5,5,6,3,32
5,3,5,5,25,3,5,5,5,16,5,5,5,6,3,16,32
3,5,5,25,3,5,5,5,16,5,5,5,6,3,16,3,32
5,5,25,3,5,5,5,16,5,5,5,6,3,16,3,19,32
5,25,3,5,5,5,16,5,5,5,6,3,16,3,19,5,32
25,3,5,5,5,16,5,5,5,6,3,16,3,19,5,18,32
3,5,5,5,16,5,5,5,6,3,16,3,19,5,18,3,32
5,5,5,16,5,5,5,6,3,16,3,19,5,18,3,2,32
5,5,16,5,5,5,6,3,16,3,19,5,18,3,2,19,32
5,16,5,5,5,6,3,16,3,19,5,18,3,2,19,18,32
16,5,5,5,6,3,16,3,19,5,18,3,2,19,18,2,32
5,5,5,6,3,16,3,19,5,18,3,2,19,18,2,3,32
5,5,6,3,16,3,19,5,18,3,2,19,18,2,3,7,32
5,6,3,16,3,19,5,18,3,2,19,18,2,3,7,14,32
6,3,16,3,19,5,18,3,2,19,18,2,3,7,14,11,32
3,16,3,19,5,18,3,2,19,18,2,3,7,14,11,5,32
