1,1,2,3,4,4,5,6,32
1,2,3,4,4,5,6,4,32
2,3,4,4,5,6,4,7,32
3,4,4,5,6,4,7,6,32
6,8,6,6,9,10,11,6,25
8,6,6,9,10,11,6,8,32
6,6,9,10,11,6,8,8,25
6,9,10,11,6,8,8,4,25
9,10,11,6,8,8,4,4,25
10,11,6,8,8,4,4,6,32
11,6,8,8,4,4,6,12,32
11,8,6,6,13,1,6,6,25
8,6,6,13,1,6,6,13,32
6,6,13,1,6,6,13,1,25
1,3,14,15,5,2,10,14,32
3,14,15,5,2,10,14,10,25
14,15,5,2,10,14,10,5,25
15,5,2,10,14,10,5,6,25
5,2,10,14,10,5,6,5,25
2,10,14,10,5,6,5,2,25
10,14,10,5,6,5,2,4,25
14,10,5,6,5,2,4,10,25
10,5,6,5,2,4,10,6,25
8,8,4,8,6,6,6,1,32
8,1,6,10,2,6,6,2,25
1,6,10,2,6,6,2,16,32
6,10,2,6,6,2,16,2,32
10,2,6,6,2,16,2,2,32
2,6,6,2,16,2,2,2,32
6,6,2,16,2,2,2,2,32
6,2,16,2,2,2,2,2,32
2,16,2,2,2,2,2,2,32
16,2,2,2,2,2,2,6,32
2,2,2,2,2,2,6,2,25
2,2,2,2,2,6,2,6,25
2,2,2,2,6,2,6,5,25
2,2,2,6,2,6,5,8,25
2,2,6,2,6,5,8,8,25
2,6,2,6,5,8,8,2,25
6,2,6,5,8,8,2,9,25
2,6,5,8,8,2,9,4,25
6,5,8,8,2,9,4,16,25
5,8,8,2,9,4,16,7,25
8,8,2,9,4,16,7,2,25
8,2,9,4,16,7,2,1,25
2,9,4,16,7,2,1,6,25
9,4,16,7,2,1,6,3,25
4,16,7,2,1,6,3,7,25
16,7,2,1,6,3,7,5,25
7,2,1,6,3,7,5,5,25
2,1,6,3,7,5,5,5,25
1,6,3,7,5,5,5,10,25
6,3,7,5,5,5,10,5,25
3,7,5,5,5,10,5,15,25
7,5,5,5,10,5,15,15,25
5,5,5,10,5,15,15,14,25
5,5,10,5,15,15,14,14,25
5,10,5,15,15,14,14,6,25
10,5,15,15,14,14,6,3,25
5,15,15,14,14,6,3,2,25
15,15,14,14,6,3,2,3,25
15,14,14,6,3,2,3,2,25
14,14,6,3,2,3,2,2,25
14,6,3,2,3,2,2,2,25
6,3,2,3,2,2,2,2,25
3,2,3,2,2,2,2,2,25
2,3,2,2,2,2,2,2,25
3,2,2,2,2,2,2,2,25
2,2,2,2,2,2,2,2,25
2,2,2,2,2,2,2,2,25
2,2,2,2,2,2,2,2,25
2,2,2,2,2,2,2,2,25
2,2,2,2,2,2,2,2,25
2,2,2,2,2,2,2,2,25
2,2,2,2,2,2,2,3,25
2,2,2,2,2,2,3,2,25
2,2,2,2,2,3,2,2,25
2,2,2,2,3,2,2,2,25
2,2,2,3,2,2,2,2,25
2,2,3,2,2,2,2,2,25
2,3,2,2,2,2,2,2,25
3,2,2,2,2,2,2,2,25
2,2,2,2,2,2,2,2,25
2,2,2,2,2,2,2,2,25
2,2,2,2,2,2,2,2,25
2,2,2,2,2,2,2,2,25
2,2,2,2,2,2,2,2,25
2,2,2,2,2,2,2,3,25
2,2,2,2,2,2,3,3,25
2,2,2,2,2,3,3,6,25
2,2,2,2,3,3,6,3,25
2,2,2,3,3,6,3,2,25
2,2,3,3,6,3,2,2,25
2,3,3,6,3,2,2,2,25
3,3,6,3,2,2,2,2,25
3,6,3,2,2,2,2,16,25
6,3,2,2,2,2,16,17,32
3,2,2,2,2,16,17,9,32
2,2,2,2,16,17,9,5,32
2,2,2,16,17,9,5,1,32
2,2,16,17,9,5,1,5,32
2,16,17,9,5,1,5,5,32
16,17,9,5,1,5,5,4,32
17,9,5,1,5,5,4,4,32
9,5,1,5,5,4,4,4,32
5,1,5,5,4,4,4,4,32
1,5,5,4,4,4,4,4,32
5,5,4,4,4,4,4,18,32
5,4,4,4,4,4,18,18,32
4,4,4,4,4,18,18,10,32
4,4,4,4,18,18,10,19,32
4,4,4,18,18,10,19,19,32
4,4,18,18,10,19,19,14,32
4,18,18,10,19,19,14,3,32
18,18,10,19,19,14,3,3,32
8,2,2,2,2,2,1,1,25
2,2,2,2,2,1,1,2,25
2,2,2,2,1,1,2,2,25
2,2,2,1,1,2,2,2,25
2,2,1,1,2,2,2,2,25
2,1,1,2,2,2,2,2,25
1,1,2,2,2,2,2,2,32
1,2,2,2,2,2,2,2,32
2,2,2,2,2,2,2,2,32
2,2,2,2,2,2,2,2,32
2,2,2,2,2,2,2,2,32
2,2,2,2,2,2,2,2,32
2,2,2,2,2,2,2,2,32
2,2,2,2,2,2,2,2,32
2,2,2,2,2,2,2,2,32
2,2,2,2,2,2,2,2,32
2,2,2,2,2,2,2,1,32
2,2,2,2,2,2,1,1,32
2,2,2,2,2,1,1,8,32
2,2,2,2,1,1,8,8,32
2,2,2,1,1,8,8,5,32
2,2,1,1,8,8,5,5,32
2,1,1,8,8,5,5,5,32
1,1,8,8,5,5,5,5,32
1,8,8,5,5,5,5,5,32
8,8,5,5,5,5,5,5,32
8,5,5,5,5,5,5,17,32
5,5,5,5,5,5,17,5,32
5,5,5,5,5,17,5,5,32
5,5,5,5,17,5,5,10,32
5,5,5,17,5,5,10,10,32
5,5,17,5,5,10,10,17,32
5,17,5,5,10,10,17,1,32
17,5,5,10,10,17,1,5,32
5,5,10,10,17,1,5,5,32
5,10,10,17,1,5,5,5,32
10,10,17,1,5,5,5,10,32
10,17,1,5,5,5,10,10,32
17,1,5,5,5,10,10,3,32
1,5,5,5,10,10,3,5,32
5,5,5,10,10,3,5,10,32
5,5,10,10,3,5,10,5,32
5,10,10,3,5,10,5,5,32
10,10,3,5,10,5,5,6,32
10,3,5,10,5,5,6,6,32
3,5,10,5,5,6,6,5,32
5,10,5,5,6,6,5,5,32
10,5,5,6,6,5,5,10,32
5,5,6,6,5,5,10,3,32
5,6,6,5,5,10,3,20,32
6,6,5,5,10,3,20,15,32
6,5,5,10,3,20,15,10,32
5,5,10,3,20,15,10,17,32
5,10,3,20,15,10,17,17,32
10,3,20,15,10,17,17,17,32
3,20,15,10,17,17,17,10,32
20,15,10,17,17,17,10,5,32
15,10,17,17,17,10,5,5,32
10,17,17,17,10,5,5,5,32
17,17,17,10,5,5,5,5,32
17,17,10,5,5,5,5,10,32
17,10,5,5,5,5,10,3,32
10,5,5,5,5,10,3,3,32
5,5,5,5,10,3,3,5,32
5,5,5,10,3,3,5,1,32
5,5,10,3,3,5,1,10,32
5,10,3,3,5,1,10,3,32
