1,2,2,3,4,32
2,2,3,4,5,32
6,7,8,2,3,25
7,8,2,3,8,25
8,2,3,8,9,32
2,3,8,9,6,32
3,8,9,6,6,32
8,9,6,6,6,32
9,6,6,6,6,32
6,6,6,6,6,25
6,6,6,6,6,25
6,6,6,6,7,25
6,6,6,7,6,25
6,7,4,7,4,25
7,4,7,4,10,25
4,7,4,10,4,25
7,4,10,4,2,25
4,11,3,2,2,32
11,3,2,2,2,25
3,2,2,2,3,32
2,2,2,3,3,32
2,2,3,3,7,32
2,3,3,7,2,32
3,3,7,2,2,32
3,7,2,2,8,32
7,2,2,8,3,32
2,2,8,3,3,32
2,8,3,3,3,32
8,3,3,3,2,32
3,3,3,2,7,32
3,3,2,7,7,32
3,2,7,7,2,32
2,7,7,2,2,32
7,7,2,2,8,32
7,2,2,8,2,32
2,2,8,2,8,32
2,8,2,8,8,32
8,2,8,8,8,32
2,8,8,8,8,32
8,8,8,8,2,32
8,8,8,2,3,32
8,8,2,3,1,32
8,2,3,1,2,32
2,3,1,2,2,32
3,1,2,2,3,32
1,2,2,3,7,32
2,2,3,7,2,32
2,3,7,2,8,32
3,7,2,8,1,32
7,2,8,1,1,32
2,8,1,1,9,32
8,1,1,9,12,32
1,1,9,12,1,32
1,9,12,1,7,32
9,12,1,7,11,32
12,1,7,11,7,32
1,7,11,7,6,32
7,11,7,6,8,32
11,7,6,8,2,32
6,13,6,4,1,25
13,6,4,1,1,25
6,4,1,1,11,25
4,1,1,11,3,32
1,1,11,3,10,32
1,11,3,10,1,32
11,3,10,1,14,32
3,10,1,14,10,32
10,1,14,10,10,32
1,14,10,10,2,32
14,10,10,2,15,32
1,1,6,2,4,32
1,6,2,4,1,32
6,2,4,1,7,32
2,4,1,7,2,32
4,1,7,2,2,32
1,7,2,2,8,32
7,2,2,8,7,32
2,2,8,7,3,32
2,8,7,3,16,32
8,7,3,16,10,32
7,3,16,10,2,32
3,16,10,2,5,32
16,10,2,5,4,32
10,2,5,4,2,25
2,5,4,2,13,25
5,4,2,13,9,26
4,2,13,9,1,18
2,13,9,1,8,18
4,2,2,2,2,32
2,2,2,2,2,32
2,2,2,2,2,32
2,2,2,2,2,32
2,2,2,2,8,32
2,2,2,8,2,32
2,2,8,2,2,32
2,8,2,2,2,32
8,2,2,2,2,32
2,2,2,2,2,32
2,2,2,2,2,32
2,2,2,2,8,32
2,2,2,8,3,32
2,2,8,3,2,32
2,8,3,2,9,32
8,3,2,9,10,32
3,2,9,10,3,32
2,9,10,3,17,32
9,10,3,17,10,32
10,3,17,10,6,25
3,17,10,6,4,25
17,10,6,4,7,25
10,6,4,7,4,25
6,4,7,4,8,25
4,7,4,8,3,25
7,4,8,3,7,32
4,8,3,7,10,32
8,3,7,10,6,32
6,4,6,6,7,25
4,6,6,7,11,25
6,6,7,11,4,25
6,7,11,4,13,25
4,5,4,4,18,25
5,4,4,18,3,32
4,4,18,3,15,25
4,18,3,15,4,25
18,3,15,4,5,25
3,15,4,5,5,32
15,4,5,5,10,32
4,5,5,10,10,25
5,5,10,10,4,25
5,10,10,4,17,25
15,5,4,4,19,25
5,4,4,19,1,32
4,4,19,1,4,25
4,19,1,4,4,25
19,1,4,4,19,32
1,4,4,19,1,32
4,1,5,20,13,25
7,7,6,6,7,25
7,6,6,7,6,25
6,6,7,6,6,25
6,7,6,6,6,25
7,6,6,6,6,25
6,6,6,6,6,25
6,6,6,6,11,25
6,6,6,11,7,25
6,6,11,7,3,25
6,11,7,3,2,25
11,7,3,2,3,25
7,3,2,3,3,25
3,2,3,3,3,25
2,3,3,3,2,33
3,3,3,2,2,32
3,3,2,2,2,32
3,2,2,2,2,32
4,1,13,13,13,40
1,13,13,13,13,33
13,13,13,13,18,33
13,13,13,18,9,33
13,13,18,9,15,34
13,18,9,15,7,25
18,9,15,7,1,25
9,15,7,1,12,32
15,7,1,12,19,32
7,1,12,19,1,32
1,12,19,1,4,32
12,19,1,4,6,32
19,1,4,6,6,32
1,4,6,6,6,32
4,6,6,6,6,32
6,6,6,6,7,32
6,6,6,7,8,32
6,6,7,8,9,32
6,7,8,9,3,32
7,8,9,3,14,32
8,9,3,14,12,32
9,3,14,12,10,32
3,14,12,10,10,32
14,12,10,10,10,32
12,10,10,10,14,32
10,10,10,14,12,32
10,10,14,12,10,32
10,14,12,10,10,32
14,12,10,10,13,32
12,10,10,13,6,32
10,10,13,6,6,32
10,13,6,6,13,32
13,6,6,13,2,32
6,6,13,2,8,32
6,13,2,8,5,25
13,2,8,5,9,32
2,8,5,9,8,32
8,5,9,8,21,32
5,9,8,21,6,32
9,8,21,6,13,25
8,21,6,13,9,32
21,6,13,9,9,25
6,13,9,9,12,25
13,9,9,12,6,25
9,9,12,6,4,25
9,12,6,4,10,25
12,6,4,10,4,25
6,4,10,4,3,32
4,10,4,3,6,25
10,4,3,6,6,32
4,3,6,6,1,32
3,6,6,1,6,32
6,6,1,6,1,32
6,1,6,1,1,32
1,6,1,1,1,32
1,1,1,4,1,32
1,1,4,1,9,32
1,4,1,9,4,32
4,1,9,4,3,32
1,9,4,3,1,32
9,4,3,1,5,32
4,3,1,5,8,32
3,1,5,8,1,32
1,5,8,1,7,32
5,8,1,7,6,32
8,1,7,6,1,32
1,7,6,1,4,32
7,6,1,4,6,32
6,1,4,6,7,32
1,4,6,7,10,32
4,6,7,10,4,32
6,7,10,4,12,32
7,10,4,12,15,32
10,4,12,15,12,32
4,12,15,12,13,32
12,15,12,13,4,32
15,12,13,4,12,32
12,13,4,12,9,32
13,4,12,9,4,32
4,12,9,4,4,32
12,9,4,4,4,32
9,4,4,4,9,32
4,4,4,9,6,32
4,4,9,6,17,32
4,9,6,17,3,32
9,6,17,3,4,32
6,17,3,4,13,32
17,3,4,13,8,25
3,4,13,8,6,25
4,13,8,6,4,25
13,8,6,4,4,25
8,6,4,4,7,25
6,4,4,7,15,25
4,4,7,15,6,25
4,7,15,6,13,25
7,15,6,13,1,25
15,6,13,1,5,25
6,13,1,5,1,25
13,1,5,1,1,25
1,5,1,1,1,25
5,1,1,1,1,25
1,1,1,1,1,25
1,1,1,1,1,25
1,1,1,1,1,25
1,1,1,1,10,25
1,1,1,10,1,25
1,1,10,1,1,25
1,10,1,1,1,25
10,1,1,1,12,25
1,1,1,12,12,25
1,1,12,12,9,25
1,12,12,9,9,25
12,12,9,9,1,25
12,9,9,1,12,25
9,9,1,12,10,25
9,1,12,10,4,25
1,12,10,4,4,25
12,10,4,4,11,25
10,4,4,11,10,25
4,4,11,10,10,25
4,11,10,10,12,25
11,10,10,12,10,25
10,10,12,10,2,25
10,12,10,2,7,25
12,10,2,7,2,25
10,2,7,2,6,25
2,7,2,6,6,25
7,2,6,6,7,25
2,6,6,7,4,25
6,6,7,4,3,25
6,7,4,3,4,25
7,4,3,4,1,25
4,3,4,1,13,25
3,4,1,13,13,25
4,1,13,13,7,25
1,13,13,7,7,25
13,13,7,7,10,25
13,7,7,10,7,25
7,7,10,7,7,25
7,10,7,7,6,25
10,7,7,6,6,25
7,7,6,6,6,25
7,6,6,6,2,25
6,6,6,2,13,25
6,6,2,13,7,25
6,2,13,7,2,25
2,13,7,2,7,18
13,7,2,7,3,25
7,2,7,3,7,25
2,7,3,7,2,25
7,3,7,2,22,25
3,7,2,22,7,24
7,2,22,7,1,24
2,22,7,1,8,24
22,7,1,8,15,24
7,1,8,15,10,17
