9028308,60,7/7/2009,01:43.0,5,32
9028304,60,7/7/2009,18:23.0,12,32
9028300,60,7/7/2009,47:01.0,5,32
9028296,60,7/7/2009,08:07.0,5,32
9028292,60,7/7/2009,20:08.0,5,32
9028288,60,7/7/2009,53:50.0,5,32
9028284,60,7/7/2009,26:46.0,12,32
9028280,60,7/7/2009,42:16.0,12,32
9028276,60,7/7/2009,37:17.0,12,32
9028272,60,7/7/2009,33:05.0,12,32
9028268,60,7/7/2009,15:56.0,934,25
9023315,60,6/24/2011,01:51.0,12,32
9023311,60,6/24/2011,57:27.0,12,32
9023307,60,6/24/2011,33:23.0,5,32
9023303,60,6/24/2011,23:02.0,6,25
9023299,60,6/24/2011,49:15.0,5,18
9023295,60,6/24/2011,06:11.0,5,32
9023291,60,6/25/2011,15:29.0,5,32
9023287,60,6/25/2011,19:34.0,5,32
9023283,60,6/25/2011,23:21.0,5,32
9023279,60,6/25/2011,26:58.0,5,32
9023275,60,6/25/2011,26:11.0,6,25
9023271,60,6/25/2011,32:13.0,934,25
9023267,60,6/25/2011,25:21.0,5,32
9023263,60,6/25/2011,25:32.0,934,25
5698765,72,1/20/2010,48:59.0,7,32
5698761,72,1/20/2010,51:32.0,934,32
5698757,72,1/20/2010,53:24.0,7,32
5698753,72,1/20/2010,54:08.0,7,32
5698749,72,1/20/2010,55:04.0,7,32
5698744,72,1/20/2010,58:06.0,4,25
5698740,72,1/20/2010,02:52.0,934,25
5698736,72,1/20/2010,51:33.0,3,25
5698732,72,1/20/2010,08:23.0,12,32
5698728,72,1/20/2010,11:11.0,934,32
5698724,72,1/20/2010,28:02.0,6,32
5698720,72,1/20/2010,32:18.0,5,32
5698716,72,1/20/2010,33:35.0,7,32
5698712,72,1/20/2010,09:40.0,5,32
5698708,72,1/20/2010,24:15.0,7,32
5698704,72,1/20/2010,38:49.0,5,32
5698700,72,1/20/2010,43:02.0,6,32
5698696,72,1/20/2010,44:36.0,6,32
5698692,72,1/20/2010,47:24.0,934,25
5698688,72,1/20/2010,50:22.0,934,25
5698684,72,1/20/2010,29:07.0,4,32
5698680,72,1/20/2010,29:55.0,12,32
5698676,72,1/20/2010,31:01.0,7,32
5698672,72,1/20/2010,32:45.0,12,32
5698668,72,1/20/2010,33:26.0,7,32
5698664,72,1/20/2010,34:42.0,934,32
5698660,72,1/20/2010,38:28.0,934,32
5698656,72,1/20/2010,39:07.0,934,32
5698652,72,1/20/2010,40:04.0,934,32
5698648,72,1/20/2010,41:35.0,12,32
5698644,72,1/20/2010,43:18.0,12,32
5698640,72,1/20/2010,47:00.0,12,32
5698636,72,1/20/2010,47:59.0,12,32
5698632,72,1/20/2010,48:50.0,12,32
5698628,72,1/20/2010,50:12.0,12,32
5698624,72,1/20/2010,52:55.0,12,32
5698620,72,1/20/2010,53:47.0,12,32
5698616,72,1/20/2010,54:31.0,7,32
5698612,72,1/20/2010,55:22.0,7,32
5698608,72,1/20/2010,56:01.0,7,32
5698604,72,1/20/2010,56:42.0,4,32
5698600,72,1/20/2010,57:15.0,4,32
5698596,72,1/20/2010,58:28.0,4,32
5698592,72,1/20/2010,01:44.0,6,32
5698588,72,1/20/2010,02:49.0,3,32
5698584,72,1/20/2010,04:06.0,7,25
5698580,72,1/20/2010,04:45.0,7,25
5698576,72,1/20/2010,05:32.0,7,25
5698572,72,1/20/2010,06:44.0,4,25
5698568,72,1/20/2010,07:57.0,7,25
5698564,72,1/20/2010,09:46.0,12,32
5698560,72,1/20/2010,12:46.0,934,25
5698556,72,1/20/2010,13:47.0,6,25
5698552,72,1/20/2010,14:24.0,6,25
5698548,72,1/20/2010,15:22.0,12,25
5698544,72,1/20/2010,17:53.0,7,25
5698540,72,1/20/2010,18:53.0,4,25
5698536,72,1/20/2010,19:55.0,6,25
5698532,72,1/20/2010,20:39.0,6,25
5698528,72,1/20/2010,21:45.0,6,25
5698524,72,1/20/2010,24:03.0,6,25
5698520,72,1/20/2010,24:51.0,3,25
5698516,72,1/20/2010,25:32.0,3,25
5698512,72,1/20/2010,41:37.0,7,25
5698508,72,1/20/2010,44:49.0,12,32
5698504,72,1/20/2010,45:52.0,5,25
5698500,72,1/20/2010,48:40.0,3,25
5696139,72,9/4/2010,22:02.0,3,32
5696135,72,9/4/2010,24:15.0,934,32
5696131,72,9/4/2010,25:35.0,934,32
5696127,72,9/4/2010,27:33.0,7,32
5696123,72,9/4/2010,26:47.0,7,32
5696119,72,9/4/2010,29:51.0,7,32
5696115,72,9/4/2010,01:27.0,7,32
5696111,72,9/4/2010,23:29.0,7,32
5696107,72,9/4/2010,24:41.0,7,32
5696103,72,9/4/2010,27:48.0,12,32
5696099,72,9/4/2010,28:54.0,934,32
5696095,72,9/4/2010,31:01.0,5,32
5696091,72,9/4/2010,32:24.0,12,32
5696087,72,9/4/2010,33:31.0,12,32
5696083,72,9/4/2010,34:21.0,12,32
5696079,72,9/4/2010,36:26.0,934,32
5696075,72,9/4/2010,37:12.0,12,32
5696071,72,9/4/2010,38:42.0,12,32
5696067,72,9/4/2010,39:55.0,4,32
5696063,72,9/4/2010,41:06.0,5,32
5696058,72,9/4/2010,41:57.0,5,32
5696054,72,9/4/2010,42:35.0,5,32
5696050,72,9/4/2010,43:17.0,5,32
5696046,72,9/4/2010,44:30.0,5,32
5696042,72,9/4/2010,46:23.0,3,32
5696038,72,9/4/2010,48:15.0,7,32
5696034,72,9/4/2010,48:55.0,7,32
5696030,72,9/4/2010,49:27.0,3,32
5696026,72,9/4/2010,50:15.0,4,32
5696022,72,9/4/2010,50:55.0,934,32
5696018,72,9/4/2010,51:31.0,934,32
5696014,72,9/4/2010,52:21.0,934,32
5696010,72,9/4/2010,53:08.0,934,32
5696006,72,9/4/2010,53:57.0,934,32
5696002,72,9/4/2010,54:45.0,934,32
5695998,72,9/4/2010,55:27.0,12,32
5695994,72,9/4/2010,56:06.0,12,32
5695990,72,9/4/2010,56:45.0,12,32
5695986,72,9/4/2010,57:22.0,7,32
5695982,72,9/4/2010,57:52.0,12,32
5695978,72,9/4/2010,58:49.0,12,32
5695974,72,9/4/2010,59:53.0,12,32
5695970,72,9/4/2010,00:51.0,934,32
5695966,72,9/4/2010,01:45.0,6,32
5695962,72,9/4/2010,02:30.0,12,32
5695958,72,9/4/2010,03:25.0,12,32
5695954,72,9/4/2010,04:02.0,12,32
5695950,72,9/4/2010,06:51.0,12,32
5695946,72,9/4/2010,07:56.0,12,32
5695942,72,9/4/2010,08:30.0,4,32
5695938,72,9/4/2010,09:31.0,12,32
5695934,72,9/4/2010,10:33.0,12,32
5695930,72,9/4/2010,11:20.0,7,32
5695926,72,9/4/2010,12:02.0,7,32
5695922,72,9/4/2010,13:04.0,7,32
5695918,72,9/4/2010,14:22.0,7,32
5695914,72,9/4/2010,15:03.0,7,32
5695910,72,9/4/2010,15:44.0,7,32
5695906,72,9/4/2010,16:35.0,4,32
5695902,72,9/4/2010,17:20.0,4,32
5695898,72,9/4/2010,18:14.0,4,32
5695894,72,9/4/2010,18:57.0,4,32
5695890,72,9/4/2010,20:14.0,4,32
5695886,72,9/4/2010,20:54.0,4,32
5695882,72,9/4/2010,21:31.0,4,32
5695878,72,9/4/2010,22:36.0,4,32
5695874,72,9/4/2010,25:03.0,5,32
5695869,72,9/4/2010,26:05.0,5,32
5695865,72,9/4/2010,26:54.0,5,32
5695861,72,9/4/2010,27:40.0,6,32
5695857,72,9/4/2010,28:14.0,6,32
5695853,72,9/4/2010,28:51.0,6,32
5695849,72,9/4/2010,29:32.0,6,32
5695845,72,9/4/2010,30:14.0,934,32
5695841,72,9/4/2010,31:12.0,3,32
5695837,72,9/4/2010,07:03.0,12,25
5695833,72,9/4/2010,16:18.0,7,25
5695829,72,9/4/2010,22:24.0,12,25
5695825,72,9/4/2010,23:12.0,6,25
5695821,72,9/4/2010,24:14.0,6,25
5695817,72,9/4/2010,44:22.0,7,25
5695813,72,9/4/2010,44:22.0,5,25
5695809,72,9/5/2010,04:02.0,3,25
5695805,72,9/5/2010,05:35.0,5,25
5695801,72,9/5/2010,06:58.0,7,25
5695797,72,9/5/2010,08:19.0,934,25
5695793,72,9/5/2010,09:15.0,5,25
5695789,72,9/5/2010,10:27.0,12,25
5695785,72,9/5/2010,13:15.0,6,25
5695781,72,9/5/2010,14:22.0,7,25
5695754,72,9/5/2010,11:35.0,7,18
5695749,72,9/5/2010,15:29.0,6,18
5695745,72,9/5/2010,31:44.0,7,25
5694533,72,10/27/2010,53:10.0,12,34
5694529,72,10/27/2010,49:57.0,7,25
5694525,72,10/27/2010,05:59.0,934,25
5694521,72,10/27/2010,08:37.0,12,32
5694517,72,10/27/2010,36:55.0,3,25
5694513,72,10/27/2010,18:09.0,5,32
5694509,72,10/27/2010,19:20.0,5,32
5694505,72,10/27/2010,20:18.0,12,32
5694501,72,10/28/2010,57:32.0,6,25
5694497,72,10/28/2010,58:02.0,6,32
5694493,72,10/28/2010,59:04.0,934,25
5694489,72,10/28/2010,59:58.0,934,32
5694485,72,10/28/2010,00:27.0,7,32
5694481,72,10/28/2010,00:56.0,7,32
5694477,72,10/28/2010,01:24.0,7,32
5694473,72,10/28/2010,02:02.0,7,32
5694469,72,10/28/2010,05:22.0,934,25
5694465,72,10/28/2010,05:51.0,934,25
5694461,72,10/28/2010,06:23.0,934,25
5694457,72,10/28/2010,06:57.0,934,25
5694453,72,10/28/2010,07:27.0,934,32
5694449,72,10/28/2010,07:56.0,934,25
5694445,72,10/28/2010,08:24.0,934,32
5694441,72,10/28/2010,08:51.0,934,25
5694437,72,10/28/2010,09:34.0,12,32
5694433,72,10/28/2010,10:05.0,12,32
5694429,72,10/28/2010,10:34.0,12,25
5694425,72,10/28/2010,11:08.0,12,32
5694421,72,10/28/2010,11:39.0,12,32
5694417,72,10/28/2010,12:10.0,12,32
5694413,72,10/28/2010,12:52.0,12,32
5694409,72,10/28/2010,13:27.0,12,25
5694405,72,10/28/2010,14:18.0,12,25
5694401,72,10/28/2010,14:48.0,12,25
5694397,72,10/28/2010,15:40.0,12,32
5694393,72,10/28/2010,16:31.0,934,25
5694389,72,10/28/2010,17:03.0,934,32
5694385,72,10/28/2010,17:30.0,6,32
5694381,72,10/28/2010,18:09.0,5,32
5694377,72,10/28/2010,18:36.0,12,32
5694373,72,10/28/2010,19:01.0,12,32
5694369,72,10/28/2010,19:51.0,12,25
5694365,72,10/28/2010,20:21.0,12,25
5694361,72,10/28/2010,20:49.0,12,25
5694357,72,10/28/2010,21:18.0,5,32
5694353,72,10/28/2010,22:31.0,7,25
5694349,72,10/28/2010,23:13.0,7,25
5694345,72,10/28/2010,23:49.0,7,25
5694341,72,10/28/2010,24:19.0,7,25
5694337,72,10/28/2010,24:45.0,7,25
5694333,72,10/28/2010,25:23.0,4,25
5694329,72,10/28/2010,25:55.0,4,25
5694325,72,10/28/2010,26:42.0,4,32
5694321,72,10/28/2010,27:59.0,6,25
5694316,72,10/28/2010,56:21.0,934,32
5694312,72,10/28/2010,56:57.0,5,32
5694308,72,10/28/2010,57:25.0,934,32
5694304,72,10/28/2010,57:54.0,934,32
5694300,72,10/28/2010,58:23.0,934,32
5694296,72,10/28/2010,58:57.0,3,32
5694292,72,10/28/2010,59:30.0,934,32
5694288,72,10/28/2010,00:03.0,934,25
5694284,72,10/28/2010,02:23.0,5,32
5694280,72,10/28/2010,02:59.0,934,32
5694276,72,10/28/2010,04:06.0,3,32
5694272,72,10/28/2010,05:13.0,5,32
5694268,72,10/28/2010,06:26.0,3,32
5694264,72,10/28/2010,07:38.0,12,25
5694260,72,10/28/2010,08:33.0,12,25
5694256,72,10/28/2010,10:26.0,5,32
5694251,72,10/28/2010,41:46.0,5,25
5694247,72,10/29/2010,17:18.0,4,25
5694243,72,10/29/2010,18:43.0,12,32
5694239,72,10/29/2010,19:19.0,12,25
5694235,72,10/29/2010,19:55.0,12,32
5694231,72,10/29/2010,21:04.0,12,32
5694227,72,10/29/2010,22:26.0,7,25
5694223,72,10/29/2010,23:29.0,4,32
5694219,72,10/29/2010,24:09.0,4,32
5694215,72,10/29/2010,25:12.0,4,25
5694211,72,10/29/2010,25:39.0,4,32
5694207,72,10/29/2010,26:24.0,4,32
5694203,72,10/29/2010,27:28.0,12,25
5694199,72,10/29/2010,28:11.0,5,32
5694195,72,10/29/2010,28:48.0,5,25
5694191,72,10/29/2010,29:25.0,5,25
5694187,72,10/29/2010,30:28.0,934,25
5694183,72,10/29/2010,31:10.0,934,32
5694179,72,10/29/2010,32:08.0,6,25
5694174,72,10/29/2010,32:50.0,934,32
5694170,72,10/29/2010,33:21.0,6,32
5694166,72,10/29/2010,34:04.0,6,32
5694162,72,10/29/2010,34:43.0,6,25
5694158,72,10/29/2010,35:18.0,6,32
5694154,72,10/29/2010,35:54.0,3,25
5694150,72,10/29/2010,36:22.0,3,25
5694146,72,10/29/2010,37:04.0,3,25
5694142,72,10/29/2010,37:40.0,3,25
5694138,72,10/29/2010,38:16.0,3,25
5694134,72,10/29/2010,39:12.0,3,25
5694130,72,10/29/2010,39:47.0,3,25
5694126,72,10/29/2010,40:24.0,3,32
5694122,72,10/29/2010,40:56.0,3,32
5694118,72,10/30/2010,21:13.0,7,32
5694114,72,10/30/2010,22:16.0,934,32
5694110,72,10/30/2010,23:51.0,12,32
5694106,72,10/30/2010,25:10.0,7,25
5694102,72,10/30/2010,25:54.0,7,32
5694098,72,10/30/2010,27:03.0,4,25
5694094,72,10/30/2010,28:28.0,5,32
5694090,72,10/30/2010,29:15.0,6,32
5694086,72,10/30/2010,29:50.0,6,32
5694082,72,10/30/2010,31:21.0,934,25
5694078,72,10/30/2010,31:57.0,6,25
5694074,72,10/30/2010,32:30.0,934,25
5694070,72,10/30/2010,33:45.0,934,25
5694066,72,10/30/2010,37:50.0,934,32
5694062,72,10/30/2010,38:22.0,7,25
5694058,72,10/30/2010,40:16.0,7,32
5694054,72,10/30/2010,41:06.0,934,25
5694050,72,10/30/2010,41:50.0,934,25
5694046,72,10/30/2010,09:03.0,7,25
5694042,72,10/30/2010,09:39.0,7,25
5694038,72,10/30/2010,10:12.0,4,25
5694034,72,10/30/2010,10:58.0,934,25
5694030,72,10/30/2010,11:33.0,934,25
5694026,72,10/30/2010,12:18.0,12,25
5694022,72,10/30/2010,13:06.0,12,25
5694018,72,10/30/2010,14:08.0,12,25
5694014,72,10/30/2010,15:25.0,12,25
