1591095,1,4/19/2010,1:59:27 PM,936,25
1591091,1,4/19/2010,11:58:53 PM,942,32
1591087,1,4/20/2010,1:00:08 AM,178,32
1591083,1,4/20/2010,8:46:47 PM,936,32
1824451,2,2/18/2010,6:11:14 PM,7,32
1824447,2,2/18/2010,11:10:06 PM,7,25
1824443,2,2/19/2010,4:40:43 PM,942,25
1824439,2,2/19/2010,11:28:21 PM,3,21
6825727,3,3/22/2011,12:41:15 AM,6,32
6825723,3,3/22/2011,12:46:54 PM,199,25
6825714,3,3/24/2011,12:36:50 AM,12,32
6825710,3,3/24/2011,7:29:39 PM,6,32
6825706,3,3/25/2011,3:03:35 PM,199,25
6825702,3,3/25/2011,6:34:32 PM,935,25
6825698,3,3/25/2011,6:36:01 PM,942,25
6825694,3,3/25/2011,11:48:03 PM,5,25
4992035,42,5/8/2010,6:45:37 AM,4,32
4992031,42,5/8/2010,5:39:15 PM,942,32
4992027,42,5/8/2010,6:54:40 PM,935,32
6098743,55,8/18/2010,1:10:20 AM,13,32
6098738,55,8/18/2010,1:57:15 PM,7,25
1358651,57,6/6/2010,10:52:53 AM,205,22
1358646,57,6/6/2010,12:29:24 PM,199,22
9028331,60,7/5/2009,6:59:00 PM,942,32
9028327,60,7/5/2009,10:29:57 PM,936,25
9028323,60,7/5/2009,10:30:55 PM,936,25
9028319,60,7/6/2009,12:14:05 AM,936,25
9028315,60,7/6/2009,5:49:48 PM,7,25
9028311,60,7/7/2009,12:49:29 AM,7,32
9028307,60,7/7/2009,1:05:38 PM,942,32
9028303,60,7/7/2009,1:19:35 PM,13,32
9028299,60,7/7/2009,1:52:38 PM,935,32
9028295,60,7/7/2009,2:08:21 PM,13,32
9028291,60,7/7/2009,2:22:55 PM,5,32
9028287,60,7/7/2009,2:53:58 PM,5,32
9028283,60,7/7/2009,3:26:55 PM,12,32
9028279,60,7/7/2009,3:45:26 PM,13,32
9028275,60,7/7/2009,4:39:02 PM,12,32
9028271,60,7/7/2009,5:58:44 PM,13,32
9028267,60,7/7/2009,11:26:00 PM,5,25
9023329,60,6/23/2011,3:26:58 PM,936,25
9023325,60,6/23/2011,4:34:37 PM,205,32
9023321,60,6/23/2011,6:57:31 PM,80,32
9023317,60,6/23/2011,10:09:28 PM,925,32
9023313,60,6/24/2011,1:28:43 PM,942,32
9023309,60,6/24/2011,4:19:39 PM,942,32
9023305,60,6/24/2011,4:36:21 PM,935,32
9023301,60,6/24/2011,7:28:26 PM,4,26
9023297,60,6/24/2011,10:15:09 PM,199,32
9023293,60,6/25/2011,2:13:35 AM,942,32
9023289,60,6/25/2011,2:18:04 AM,942,32
9023285,60,6/25/2011,2:22:12 AM,942,32
9023281,60,6/25/2011,2:24:36 AM,942,32
9023277,60,6/25/2011,2:28:18 AM,942,32
9023273,60,6/25/2011,2:03:19 PM,127,25
9023269,60,6/25/2011,4:32:54 PM,13,32
9023265,60,6/25/2011,9:16:48 PM,13,32
9023261,60,6/26/2011,2:41:54 AM,7,25
9023257,60,6/26/2011,3:26:32 AM,205,32
8060674,67,5/27/2010,2:01:23 AM,12,18
8060670,67,5/27/2010,8:05:41 PM,936,25
8060665,67,5/29/2010,4:10:21 AM,4,25
8060661,67,5/29/2010,9:58:26 PM,6,25
8060650,67,5/31/2010,2:23:35 AM,7,32
8060646,67,5/31/2010,4:43:25 PM,942,25
5698770,72,1/20/2010,2:38:36 PM,3,23
5698766,72,1/20/2010,2:48:39 PM,7,31
5698762,72,1/20/2010,2:51:20 PM,6,32
5698758,72,1/20/2010,2:53:14 PM,3,32
5698754,72,1/20/2010,2:53:50 PM,7,32
5698750,72,1/20/2010,2:54:49 PM,7,32
5698746,72,1/20/2010,2:56:19 PM,6,25
5698742,72,1/20/2010,3:00:01 PM,7,25
5698738,72,1/20/2010,3:12:59 PM,199,25
5698734,72,1/20/2010,3:57:39 PM,6,32
5698730,72,1/20/2010,4:10:39 PM,12,32
5698726,72,1/20/2010,4:16:01 PM,12,32
5698722,72,1/20/2010,4:31:38 PM,35,32
5698718,72,1/20/2010,4:32:40 PM,7,32
5698714,72,1/20/2010,4:48:08 PM,942,32
5698710,72,1/20/2010,5:19:06 PM,935,32
5698706,72,1/20/2010,5:31:28 PM,935,32
5698702,72,1/20/2010,5:40:13 PM,935,32
5698698,72,1/20/2010,5:43:34 PM,35,32
5698694,72,1/20/2010,5:45:42 PM,6,32
5698690,72,1/20/2010,5:47:40 PM,936,25
5698686,72,1/20/2010,7:28:41 PM,3,32
5698682,72,1/20/2010,7:29:26 PM,7,32
5698678,72,1/20/2010,7:30:22 PM,7,32
5698674,72,1/20/2010,7:31:22 PM,4,32
5698670,72,1/20/2010,7:33:08 PM,4,32
5698666,72,1/20/2010,7:34:20 PM,936,32
5698662,72,1/20/2010,7:35:33 PM,936,32
5698658,72,1/20/2010,7:38:49 PM,936,32
5698654,72,1/20/2010,7:39:40 PM,936,32
5698650,72,1/20/2010,7:40:43 PM,935,32
5698646,72,1/20/2010,7:42:15 PM,935,32
5698642,72,1/20/2010,7:44:18 PM,935,32
5698638,72,1/20/2010,7:47:30 PM,12,32
5698634,72,1/20/2010,7:48:24 PM,12,32
5698630,72,1/20/2010,7:49:26 PM,12,32
5698626,72,1/20/2010,7:50:47 PM,12,32
5698622,72,1/20/2010,7:53:19 PM,12,32
5698618,72,1/20/2010,7:54:16 PM,7,32
5698614,72,1/20/2010,7:55:07 PM,925,32
5698610,72,1/20/2010,7:55:37 PM,7,32
5698606,72,1/20/2010,7:56:26 PM,4,32
5698602,72,1/20/2010,7:57:00 PM,4,32
5698598,72,1/20/2010,7:57:42 PM,4,32
5698594,72,1/20/2010,7:59:38 PM,4,32
5698590,72,1/20/2010,8:02:11 PM,6,32
5698586,72,1/20/2010,11:03:07 PM,7,25
5698582,72,1/20/2010,11:04:22 PM,7,25
5698578,72,1/20/2010,11:05:14 PM,7,25
5698574,72,1/20/2010,11:05:57 PM,4,25
5698570,72,1/20/2010,11:07:38 PM,7,25
5698566,72,1/20/2010,11:08:38 PM,218,25
5698562,72,1/20/2010,11:12:00 PM,199,25
5698558,72,1/20/2010,11:13:13 PM,935,25
5698554,72,1/20/2010,11:14:03 PM,12,32
5698550,72,1/20/2010,11:15:02 PM,5,25
5698546,72,1/20/2010,11:16:26 PM,7,25
5698542,72,1/20/2010,11:18:24 PM,7,25
5698538,72,1/20/2010,11:19:21 PM,4,32
5698534,72,1/20/2010,11:20:19 PM,6,25
5698530,72,1/20/2010,11:21:06 PM,6,25
5698526,72,1/20/2010,11:22:28 PM,6,25
5698522,72,1/20/2010,11:24:33 PM,3,25
5698518,72,1/20/2010,11:25:11 PM,3,25
5698514,72,1/20/2010,11:41:11 PM,925,32
5698510,72,1/20/2010,11:42:33 PM,936,32
5698506,72,1/20/2010,11:45:15 PM,935,32
5698502,72,1/20/2010,11:47:04 PM,935,32
5698498,72,1/21/2010,12:36:05 AM,7,32
5698494,72,1/21/2010,12:38:21 AM,7,32
5698490,72,1/21/2010,12:40:44 AM,3,32
5698486,72,1/21/2010,12:42:32 AM,12,32
5696140,72,9/4/2010,2:21:45 AM,7,32
5696136,72,9/4/2010,2:23:19 AM,199,32
5696132,72,9/4/2010,2:25:28 AM,936,32
5696128,72,9/4/2010,2:27:16 AM,4,32
5696124,72,9/4/2010,4:26:38 AM,4,32
5696120,72,9/4/2010,4:29:29 AM,7,32
5696116,72,9/4/2010,4:30:45 AM,936,32
5696112,72,9/4/2010,5:23:19 AM,925,32
5696108,72,9/4/2010,5:24:34 AM,7,32
5696104,72,9/4/2010,5:27:33 AM,12,32
5696100,72,9/4/2010,5:28:34 AM,199,32
5696096,72,9/4/2010,5:30:52 AM,935,32
5696092,72,9/4/2010,5:32:16 AM,935,32
5696088,72,9/4/2010,5:33:09 AM,935,32
5696084,72,9/4/2010,5:34:10 AM,207,32
5696080,72,9/4/2010,5:35:56 AM,133,32
5696076,72,9/4/2010,5:37:02 AM,12,32
5696072,72,9/4/2010,5:38:26 AM,936,32
5696068,72,9/4/2010,5:39:28 AM,7,32
5696064,72,9/4/2010,5:40:51 AM,13,32
5696059,72,9/4/2010,5:41:46 AM,942,32
5696055,72,9/4/2010,5:42:26 AM,13,32
5696051,72,9/4/2010,5:43:06 AM,5,32
5696047,72,9/4/2010,5:44:14 AM,12,32
5696043,72,9/4/2010,5:46:02 AM,6,32
5696039,72,9/4/2010,5:48:06 AM,925,32
5696035,72,9/4/2010,5:48:47 AM,7,32
5696031,72,9/4/2010,5:49:19 AM,7,32
5696027,72,9/4/2010,5:50:08 AM,7,32
5696023,72,9/4/2010,1:50:46 PM,936,32
5696019,72,9/4/2010,1:51:20 PM,936,32
5696015,72,9/4/2010,1:52:11 PM,13,32
5696011,72,9/4/2010,1:52:51 PM,936,32
5696007,72,9/4/2010,1:53:49 PM,936,32
5696003,72,9/4/2010,1:54:38 PM,936,32
5695999,72,9/4/2010,1:55:18 PM,12,32
5695995,72,9/4/2010,1:55:56 PM,935,32
5695991,72,9/4/2010,1:56:37 PM,935,32
5695987,72,9/4/2010,1:57:13 PM,935,32
5695983,72,9/4/2010,1:57:43 PM,935,32
